geocod;uf;municipio;data;ano;mat_em;mat_etp;prop_etp_em;mat_etp_pub;mat_etp_priv
2202901;Piauí ;Corrente ;40909;2012;1469;733;0,498978897;0;0
2206605;Piauí ;Monte Alegre do Piauí ;40909;2012;448;0;0;0;0
2208700;Piauí ;Redenção do Gurguéia ;40909;2012;341;157;0,460410557;0;0
2209203;Piauí ;Santa Filomena ;40909;2012;183;0;0;0;0
2211209;Piauí ;Uruçuí ;40909;2012;980;603;0,615306122;0;0
2903201;Bahia ;Barreiras ;40909;2012;6707;2360;0,351871179;0;0
2911105;Bahia ;Formosa do Rio Preto ;40909;2012;1421;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;40909;2012;3029;208;0,068669528;0;0
2926202;Bahia ;Riachão das Neves ;40909;2012;1007;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;40909;2012;1478;205;0,138700947;0;0
2928901;Bahia ;São Desidério ;40909;2012;1367;0;0;0;0
1700400;Tocantins ;Almas ;41640;2014;400;85;0,2125;85;0
1703842;Tocantins ;Campos Lindos ;41640;2014;393;0;0;0;0
1707009;Tocantins ;Dianópolis ;41640;2014;958;320;0,334029228;288;32
1716505;Tocantins ;Pedro Afonso ;41640;2014;698;303;0,434097421;239;64
1718204;Tocantins ;Porto Nacional ;41640;2014;2815;814;0,289165187;646;168
1718907;Tocantins ;Santa Rosa do Tocantins ;41640;2014;230;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;41640;2014;381;0;0;0;0
2101400;Maranhão ;Balsas ;41640;2014;4342;0;0;0;0
2101806;Maranhão ;Benedito Leite ;41640;2014;157;0;0;0;0
2102804;Maranhão ;Carolina ;41640;2014;944;0;0;0;0
2109007;Maranhão ;Porto Franco ;41640;2014;1172;0;0;0;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;41640;2014;1060;505;0,476415094;505;0
2201903;Piauí ;Bom Jesus ;41640;2014;1339;413;0,308439134;413;0
2202901;Piauí ;Corrente ;41640;2014;1010;704;0,697029703;704;0
2206605;Piauí ;Monte Alegre do Piauí ;41640;2014;468;137;0,292735043;137;0
2208700;Piauí ;Redenção do Gurguéia ;41640;2014;318;139;0,437106918;139;0
2209203;Piauí ;Santa Filomena ;41640;2014;173;60;0,346820809;60;0
2211209;Piauí ;Uruçuí ;41640;2014;870;652;0,749425287;652;0
2903201;Bahia ;Barreiras ;41640;2014;6891;2411;0,349876651;2148;263
2911105;Bahia ;Formosa do Rio Preto ;41640;2014;1196;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;41640;2014;2981;250;0,083864475;19;231
2926202;Bahia ;Riachão das Neves ;41640;2014;919;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;41640;2014;1528;210;0,137434555;210;0
2928901;Bahia ;São Desidério ;41640;2014;1267;0;0;0;0
1700400;Tocantins ;Almas ;42370;2016;346;94;0,271676301;0;0
1703842;Tocantins ;Campos Lindos ;42370;2016;462;0;0;0;0
1707009;Tocantins ;Dianópolis ;42370;2016;946;248;0,262156448;0;0
1716505;Tocantins ;Pedro Afonso ;42370;2016;627;254;0,405103668;0;0
1718204;Tocantins ;Porto Nacional ;42370;2016;2716;739;0,272091311;0;0
1718907;Tocantins ;Santa Rosa do Tocantins ;42370;2016;201;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;42370;2016;410;0;0;0;0
2101400;Maranhão ;Balsas ;42370;2016;4134;0;0;0;0
2101806;Maranhão ;Benedito Leite ;42370;2016;132;0;0;0;0
2102804;Maranhão ;Carolina ;42370;2016;1040;52;0,05;0;0
2109007;Maranhão ;Porto Franco ;42370;2016;1240;74;0,059677419;0;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;42370;2016;1030;106;0,102912621;0;0
2201903;Piauí ;Bom Jesus ;42370;2016;1347;266;0,197475872;0;0
2202901;Piauí ;Corrente ;42370;2016;1493;1115;0,746818486;0;0
2206605;Piauí ;Monte Alegre do Piauí ;42370;2016;496;94;0,189516129;0;0
2208700;Piauí ;Redenção do Gurguéia ;42370;2016;341;20;0,058651026;0;0
2209203;Piauí ;Santa Filomena ;42370;2016;302;88;0,291390728;0;0
2211209;Piauí ;Uruçuí ;42370;2016;892;826;0,926008969;0;0
2903201;Bahia ;Barreiras ;42370;2016;7455;2580;0,346076459;0;0
2911105;Bahia ;Formosa do Rio Preto ;42370;2016;1226;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;42370;2016;3336;282;0,084532374;0;0
2926202;Bahia ;Riachão das Neves ;42370;2016;772;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;42370;2016;1165;260;0,223175966;0;0
2928901;Bahia ;São Desidério ;42370;2016;1242;0;0;0;0
1700400;Tocantins ;Almas ;43101;2018;330;85;0,257575758;85;0
1703842;Tocantins ;Campos Lindos ;43101;2018;394;0;0;0;0
1707009;Tocantins ;Dianópolis ;43101;2018;824;228;0,276699029;228;0
1716505;Tocantins ;Pedro Afonso ;43101;2018;583;273;0,468267581;229;44
1718204;Tocantins ;Porto Nacional ;43101;2018;2527;611;0,241788682;581;30
1718907;Tocantins ;Santa Rosa do Tocantins ;43101;2018;185;0;0;0;0
2100501;Maranhão ;Alto Parnaíba ;43101;2018;423;0;0;0;0
2101400;Maranhão ;Balsas ;43101;2018;4226;161;0,038097492;0;161
2101806;Maranhão ;Benedito Leite ;43101;2018;179;0;0;0;0
2102804;Maranhão ;Carolina ;43101;2018;1058;150;0,141776938;150;0
2109007;Maranhão ;Porto Franco ;43101;2018;1129;208;0,184233835;208;0
2111607;Maranhão ;São Raimundo das Mangabeiras ;43101;2018;1032;437;0,423449612;437;0
2201903;Piauí ;Bom Jesus ;43101;2018;1368;375;0,274122807;307;68
2202901;Piauí ;Corrente ;43101;2018;1390;1625;1,169064748;1625;0
2206605;Piauí ;Monte Alegre do Piauí ;43101;2018;497;0;0;0;0
2208700;Piauí ;Redenção do Gurguéia ;43101;2018;321;79;0,246105919;0;79
2209203;Piauí ;Santa Filomena ;43101;2018;293;0;0;0;0
2211209;Piauí ;Uruçuí ;43101;2018;1020;1088;1,066666667;1088;0
2903201;Bahia ;Barreiras ;43101;2018;8066;3079;0,381725762;2357;722
2911105;Bahia ;Formosa do Rio Preto ;43101;2018;1174;0;0;0;0
2919553;Bahia ;Luís Eduardo Magalhães ;43101;2018;3265;177;0,054211332;19;158
2926202;Bahia ;Riachão das Neves ;43101;2018;739;0;0;0;0
2928406;Bahia ;Santa Rita de Cássia ;43101;2018;1036;396;0,382239382;373;23
2928901;Bahia ;São Desidério ;43101;2018;1234;0;0;0;0
